id;country;description;developed;name;parent;published;start_date
2686;;;{6146};Midway Chicago;;;
2687;;;{6146};Tiger Hill Entertainment;;;
2688;124;;{20330, 6147, 84923};Tribute Games;;{20330, 6147, 84923};
2689;;;;Myelin Media;;{7507, 6157};
2690;;;{6157};5000ft;;;
2691;;;{6158};Gameness Art;;;
2692;;;{4168, 26462};Starsphere Interactive;;;
2693;392;;{6163, 19132, 11683, 6174};Nude Maker;;;
2694;;;{76714, 6166};Kiloo;;{6166};
2695;208;;{28822, 6166};SYBO Games;;{28822};
2696;;;{6168};Shadow Planet Productions;;;
2697;;;{6168};Fuelcell Games;;;
2698;;;{6168};Gagne International;;;
2700;191;;{86256, 6170, 27381};Ironward;;{86256};
2701;752;;{6208, 6209, 6279, 6280, 113107, 6171};Simogo;;{6208, 6209, 6279, 6280, 6171};
2702;;;{6173};Cyclone Zero;;;
2703;250;;{6176};Gameco Studios;;;2003-12-31 00:00:00
2704;;;{6177};Blue 52;;;
2705;;;{6183};Circus Freak;;;
2706;;;;Xplosiv;;{6186, 23098};
2707;;;;Hacienda Post;;;
2708;;;;Sabre Music;;;
2709;;;;Beeline Group;;;
2710;;;{95538, 59086};Nickelodeon;;{59086, 7991};
2711;;;{6251, 6190};Studio Gigante;;;
2712;;;{6432, 6196};Taniko;;{18402};
2713;;;{10911, 6199};Computer Artworks;;;
2714;;;{6202};ToeJam & Earl Productions;;;
2715;;;{6206};Tiwak SAS;;;
2716;;;;SCi Entertainment;;{6213};
2717;208;;{6213, 23111, 122315, 27854, 7246};Deadline Games;;{122315};1996-12-31 00:00:00
2718;;;{6215};Blue Shift Inc;;;
2719;;;{6215};Exile Entertainment;;;
2720;;;;Touchstone Games;;{1330};
2721;124;;{1330, 7220};Propaganda Games;426;;2005-12-31 00:00:00
2722;;;{6226};Megatube;;;
2723;250;Our company aims to create completely stable, optimised, finished products, ideally without bugs (bringing this percentage to a minimum) but also to create an enriching and pleasurable game experience to the player. Our main models in this domain are IdSoftware and Blizzard studios.;{95068, 6230, 6879};Streum On Studio;9867;{6230};2007-07-16 00:00:00
2724;;;{120875, 6235, 14845};Silver Wish Games;;;
2725;;;{6236};Circle Studio;;;
2726;;;{6237};Coresoft;;;
2727;;;{27472, 24745, 6242, 6243};Direct Action Games;;;
2728;840;Gaijin Games Inc. is an independent video game development studio founded by industry veterans Alex Neuse and Mike Roush in 2008. Located in San Francisco. In June 2014 Gaijin Games became Choice Provisions.  Gaijin Games operates in an agile development environment and creates unique gaming experiences for humans to enjoy. We view video games as an art medium and approach it as such.  A core belief of The Gaijin Games Team is that great people accomplish great things together, and this mantra drives us to find only the best collaborators to work with. Our staff is full of passionate, disciplined, and talented people who exhibit foresight and have strong wills.  Every video game company on Earth should make awesome games, and Gaijin Games strives to fulfill that goal by working with fantastic people on refreshing projects. We hope you enjoy our games, because sometimes a really good video game is just awesome.;{6246, 15280, 15281, 5592, 15386, 9535};Gaijin Games;;{15280, 15281, 5592, 15386, 15387, 9535};2008-12-31 00:00:00
2729;246;;{23330, 20837, 6247, 6250, 9931, 26763, 20845, 119534, 76719, 122099, 14747, 38932, 115766, 119157, 9019, 110846, 8255};Frozenbyte;;{23330, 20837, 9931, 20845, 119534, 122099, 14747, 38932, 119157, 51800, 9019, 8255};2001-12-31 00:00:00
2730;;;{18276, 6249, 6252, 37045};Anchor Inc;;;
2731;;;{6253};Zombie Cow Studios;;;
2733;;;{6273};Monkeystone Games;;;
2734;;;{6274};Digital Red;;;
2735;;;{6276};IOMO;;;
2736;;;{1405};Adhesive Games;;;
2737;;;;Meteor Entertainment;;{1405};
2738;;;{6277};Aleksey Abramenko;;{6277};
2739;840;;{23221, 6278};Final Form Games;;{23221, 6278};2009-07-02 00:00:00
2740;;;{6281};Brandon Brizzi;;{35569, 30603, 32710};
2741;;;{6282};Extend Studio;;{6282};
2742;;;{91848};ORiGO GAMES;;{9478, 91848, 6282, 36270, 120631};
2743;;;{6287};Ideaworks Game Studio;;;
2746;410;We are Pearl Abyss, the developer of Black Desert Online, the Next-Gen Sandbox MMORPG. Located near Seoul, South Korea, Pearl Abyss is currently a home to one of the most talented and experienced people in gaming industry.     Making games is what we do, and we do it hard to achieve excellence and an unforgettable user experience. Welcome to our Facebook page.;{6292, 54701};Pearl Abyss;;;2010-09-01 00:00:00
2747;;;;DAUM Communications;;;
2748;392;The largest online game publisher in Japan. Started in 2002, and has been a new frontier of the online game industry of Japan.;;GameOn;;{84673, 85539, 59108, 85508, 85509, 80743, 84584, 86409, 85515, 84588, 85005, 65552, 80594, 6292, 124279};2002-04-02 00:00:00
2749;;;{6294};Fluid Studios;;;
2750;;;{6489, 6294};Paragon 5;;;
2751;392;Nihon Falcom Corporation (日本ファルコム株式会社) is a Japanese video game company. The company was founded in March 1981 by Masayuki Kato. Falcom has played a definite role in the growth and development of the Japanese personal computer software industry. The company released one of the first Japanese role-playing video games in 1983 and followed with real-time action and adventure games as well as games with fully developed soundtracks. They were pioneers of the Japanese role-playing game industry, and remain one of the oldest role-playing game developers still in existence today.;{9614, 42772, 14486, 11543, 6296, 16665, 8986, 23322, 23323, 113431, 76702, 78114, 26915, 78115, 21032, 4393, 19113, 27304, 90549, 10942, 11455, 10944, 10943, 10948, 10949, 26564, 28101, 75973, 90056, 5579, 121038, 15449, 15450, 36701, 15455, 15457, 72810, 2411, 13557, 13558, 62583, 24956, 41727};Nihon Falcom;;{9614, 42772, 14486, 11543, 70166, 16665, 8986, 23322, 23323, 113431, 26915, 78115, 27304, 4393, 19113, 11455, 10944, 10943, 10948, 10949, 26564, 28101, 75973, 90056, 5579, 121038, 15449, 15450, 36701, 15455, 15457, 42212, 72810, 2411, 13557, 13558, 62583, 41727};1981-03-01 00:00:00
2752;;;{6296, 15455};ScriptArts;;;
2753;;;{6106};Sega Development Division #3;;;
2754;;;{6298};Gamezlab;;;
2755;;;{6305};Hokus-Pokus;;;
2756;;;;Sony Pictures Television;;{6310};
2757;;;;Sony Pictures Consumer Products;;{6310};
2758;;;{36913, 37300};Tezuka Productions;;{18864, 6310};
2759;840;;{6314};Telegames;;{41122, 6787, 12292, 18659, 6314, 12266, 124111, 9331, 6644, 6645, 6647, 6841, 91676, 9757};1986-01-01 00:00:00
2760;;;;fabtek;;{8855, 8857, 8858, 8859, 8860};
2761;858;Game design studio based in Uruguay. Famous for the Kingdom Rush game series.;{18976, 41496, 6005, 6006};Ironhide Game Studio;;{41496, 6006};2010-12-31 00:00:00
2762;;;{6320, 6321, 8030, 6647};Cave+Barn Studios;;;
2763;840;Founded in 2006, Wadjet Eye Games has developed a reputation for producing award-winning and critically acclaimed adventure games for the PC. The company’s award-winning portfolio includes The Shivah and the Blackwell series, both of which have garnered Game Developers Choice nominations, Puzzle Bots, which was selected for the Penny Arcade Expo’s PAX 10 showcase, and IGF Student Showcase winner Gemini Rue.  Wadjet Eye Games is located in Park Slope, Brooklyn.;{109259, 9037, 9039, 9041, 9043, 6325, 6327, 27867, 16478, 8511};Wadjet Eye Games;;{16072, 10731, 109259, 9037, 9039, 13232, 9041, 7635, 8819, 6325, 9043, 6327, 7418, 27867, 16478, 8511};2006-12-31 00:00:00
2764;;;{6327};xii games;;;
2765;246;Almost Human Ltd. is an independent Finnish game developer founded in the beginning of 2011 by four game industry veterans. The teams mission is to create fun games with focus on cool gameplay and astounding visuals. from IGN;{6328, 8456};Almost Human Ltd.;0;{6328, 8456};2011-07-01 00:00:00
2766;;A 3 person indie studio and part of the Experimental Gameplay Group.    Indie Laborers include EA alum Allan Blomquist, World of Goo co-creator, Kyle Gabler, and Henry Hatsworth creator, Kyle Gray.    Makers of Little Inferno and Human Resource Machine. Previous works include World of Goo and Henry Hatsworth and the Puzzling Adventure.;{14545, 104250, 1363, 83847};Tomorrow Corporation;11984;{14545, 1363, 83847};2009-12-31 00:00:00
2767;;;;Leguna;;{6337};
2768;;;{6338, 7013};Metro Corporation;;;
2769;;;;Bay 12 Games;;{6341};
2770;;;{6341};Tarn Adams;;;
2771;36;;{6342};Jay Watts;;;
2772;;;;Murudai;;{6342};
2773;;;{64951};KSS;;{38112, 6345, 2515, 64951};
2774;;;{6345};G3 Interactive;;;
2775;;;{47969, 6354, 117498};Handheld Games;;;
2776;528;Iceberg Interactive is an independent videogame publisher located just outside Amsterdam, The Netherlands. Run by a team of industry professionals with a passion for gaming, we aim to bring you only the coolest games and the best gameplay experience available.;;Iceberg Interactive;;{16513, 106120, 10889, 16015, 30223, 31509, 76566, 8472, 24856, 10522, 10139, 16668, 6176, 15143, 87975, 16557, 95026, 15027, 9396, 10164, 10165, 17206, 14904, 51896, 110391, 21564, 9278, 5055, 15039, 111043, 35526, 36298, 35535, 27089, 29138, 41045, 26710, 6360, 13660, 6748, 23905, 11619, 11621, 33640, 104937, 112362, 36334, 109039, 108656, 8818, 119163, 10357, 28533, 35707};2009-12-31 00:00:00
2777;;;{6364};Xdev;;;
2778;;;{6369};Yoyo Entertainment;;;
2779;;;{6377, 79770, 27549};GameLab;;{27549};
2780;;;{11001, 6380, 6381};Klein Computer Entertainment;;;
2781;;;{6384, 6558};Million;;;
2782;;;{6384};S-NEO;;;
2783;840;This company started a localization subsidiary for the Japanese game publisher Enix Corporation.   Enix America Corporation was opened in 1990 after the release of Dragon Warrior by Nintendo of America in 1989. The company was closed in 1995 after poor sales of localized games.  In 1999 Enix created a new the localization subsidiary named Enix America, Inc. with some of the original staff and remained open until Enix Corporation and Square Co. merged in 2003.;;Enix America Corporation;1854;{11616, 6979, 6468, 9805, 8142, 6388, 1813, 1814, 7704, 1817, 1818};1990-12-31 00:00:00
2784;;;;Cineast dub;;;
2785;;;;The Story Lab;;;
2786;752;;{15311, 10263};Doctor Entertainment;;{15311, 10263};
2787;;;;EC-Interactive Ltd.;;;
2788;;;;GTL Media;;;
2789;;;;Weapons Specialists Ltd;;;
2790;;;;Donna Deseta Casting;;;
2791;;;;Telsey + Company;;;
2792;840;;;Rockstar NYC;;;
2793;;;{6392};Sobee;;;
2794;;;;Franchise Interactive;;{6396};
2795;;;;Sanyo;;;
2796;;;;GoldStar;;;
2797;;;{6404};Monochrome LLC;;{6404};
2798;;;{6411};Konami Software Shanghai;;{37307};
2799;;;{87752, 37289, 6416, 69843, 71283};InterActive Vision;;;
2800;;;{6417};Lucky Jump Games;;;
2801;;;{6419, 6539};Frame Studios;;;
2802;826;;{54736, 6421, 18613};Denki;;;
2803;;;{15557, 6423};Sirius Games;;{18507};
2804;;;{6433};Amazing Studio;;;
2805;;;{6437};Pukka Games;;;
2806;;;{6438};ITE Media;;{15538, 6438};
2807;276;Shinen is a developer of video games, based in Germany. The company has been an official Nintendo third-party developer since 1999, and currently develops for the Nintendo 3DS and Wii U. Shinen has also developed for the Wii, Nintendo DS, Game Boy Advance and Game Boy Color.  Shinen also created the soundtracks for around 200 video games. They developed the GHX, GAX, DSX, and NAX (which is based on the GAX) handheld audio middleware.;{26816, 14886, 14890, 7979, 6449, 6450, 8120, 6555, 8574};Shinen;;{26816, 6555, 14886};1999-12-31 00:00:00
2808;410;XLGAMES was founded in 2003 by the iconic Korean developer Jake Song (Korean name – Song Jae Kyung). XLGAMES developed the dynamic MMORPG ArcheAge, which aims to be a game where players have the freedom to enjoy themselves and forge their own path. The ‘XL’ in XLGAMES means ‘Excellent’.;{6451};XL Games;;;2003-04-01 00:00:00
2809;392;Also known as Nippon Computer Systems Corporation  .  They entered the video game industry in 1980 and began using the Masaya brand in 1984.  They left game software development in 1998 due to business risks, though Masaya continued to publish games.  Their last game credit is in the 1999 release of Langrisser Millennium for the Sega Dreamcast.    In 2014, Extreme Co., Ltd. acquired a copyright assignment from NCS Corporation concerning Masaya and their related products.;{46402, 28388, 6470, 44330, 75853, 75857, 75858, 72691, 42104};NCS Corporation;14509;{77634, 7748, 6470, 44330, 42098, 45436, 42010, 46171, 3196};1980-12-25 00:00:00
2810;;;{6475};Bits Laboratory;;;
2811;;;{6476};South Winds Games;;;
2812;;;;Amazon Digital Services, Inc;;{6476};
2813;;;{6477, 111559};Game Titan;;;
2814;;;{1161};Human Soft;;{6478};
2815;;;{6551, 6585, 6479};Orbital Media;;{6551};
2816;;;{19718, 8013, 7758, 6480, 18577};Syrox Developments;;;
2817;;;{47301};Konami Computer Entertainment Hawaii;;;
2818;;;;Deirdra Kiai Productions;;;
2819;;;{6491};Deirdra Kiai Productions;;{6491};
2820;;;{6495};KCEK;;;
2821;392;;{69255, 21260, 43405, 50575, 2066, 21161, 46001, 8248, 75836, 75837, 75838, 1469, 75839, 44481, 75840, 75841, 44488, 66765, 72793, 12381, 105054, 13559, 72958};Eighting;;{13687};
2822;840;;{7140};Graffiti Entertainment;;{6507, 5126};
2823;;;{6569, 6507};Sabarasa;;{84516, 84809, 59124, 63355, 67036};
2824;;;{6510};Radius9;;;
2825;;;;Tomy Corporation;;{6514, 49132};
2826;250;;{8793, 8515, 6515, 9646};Adeline Software International;501;;1993-02-01 00:00:00
2827;;;{8614, 95025, 6525, 3102, 86495};Flying Tiger Developments;;{95025, 86495};
2828;;;{6531};Apex Designs;;{6531};
2829;;;{6721, 6532, 8966};ZOOM Inc.;;;
2830;;;{6536, 6537, 20526};Mitchell Corporation;;{6823};
2831;840;;{6544, 21600, 11484};Hijinx Studios;;;2008-12-31 00:00:00
2832;;;{27432, 6547, 26229};On5;;{27432};
2833;;;;Planetwide Media;;{6548};
2834;;;{6548};GamaSoft;;;
2835;;;{6552};Ninai Games;;;
2836;;;{6554};Codo Technologies;;;
2837;;;;D4 Enterprise;;{46784, 6690, 37251, 15428, 39653, 81286, 41319, 45319, 66823, 39562, 76045, 39665, 39348, 1407};
2838;;;;D4 Enterprise;;{6556};
2839;;;{6827, 12492, 49021};Naxat Soft;;{38080, 48642, 6790, 12487, 80573, 12492, 60751, 46768, 44305, 42099, 49021, 6558};
2841;;;;D4 Enterprise, Inc;;{6566};
2842;484;;;slang;;{6569};
2843;392;;{26024, 39340, 20495, 42482, 12308, 37307};Konami Co., Ltd;;{98976, 19714, 49305, 116965, 26024, 39340, 42482, 12308, 71861, 37305, 79707};1991-06-01 00:00:00
2844;124;;{10530, 10531, 6571, 6677, 6678, 6679, 65596};Ludia, Inc;;{10530, 10531, 87685};
2845;;;{49402, 6572, 8021, 42751};Mistic Software Inc;;;
2846;840;;{1606, 1607, 1608, 1609, 18904, 7193};Mad Doc Software;;;1999-12-31 00:00:00
2847;;;{8676, 6575};TechFront Studios;;;
2848;;;;eGames, Inc;;{18729, 117729, 6575};
2849;;;{6576, 7545};Frozen Codebase, LLC;;{7545};
2850;840;North American (USA) subsidiary of Nintendo;;Nintendo of America;;{7558, 26758, 26759, 11658, 11659, 26764, 37137, 1812, 2324, 24470, 20380, 20381, 20382, 37151, 20385, 20386, 20387, 20388, 54561, 54562, 9511, 28841, 7346, 20790, 36792, 36793, 36794, 11196, 20031, 81147, 9553, 115281, 115282, 42455, 19930, 5343, 113249, 18916, 104677, 72809, 26350, 19695, 27505, 81523, 48117, 1399, 20984, 20986, 9083, 90108, 90109, 7294};1980-01-01 00:00:00
2851;;;{6580};Infinite Monkeys Entertainment Ltd.;;{6580};
2852;;;{17840, 16633, 17390, 31561};Ripstone;;{96065, 106562, 10755, 31561, 16749, 52590, 89805, 85585, 111153, 52148, 11349, 6581, 8409, 20026, 52221};
2853;;;{6583};Nintedo NSD;;;
2854;;;;Monkey Gods;;{6596};
2855;;;;Snood World;;{6596};
2856;;;{6596};David M. Dobson;;;
2857;;;{6596};Dreamhive;;;
2858;;;{6597};Kitty Group;;;
2859;;;{13063, 13064, 13108, 13109, 6615, 6616};Flight-Plan;;;
2860;;;{6620};Milion Co.;;;
2861;;;{6622};Realism;;;
2862;;;{6630};Square Enix Product Development Division 8;;;
2863;;;;Tantamount Prod.;;;
2864;;;;Creative Labs;;;
2865;;;;Intel Corporation;;;
2866;;;;DirectX;;;
2867;;;{4544, 6636};Adrenalin Entertainment;;{10607};
2868;;;;Tigeon Studios;;;
2869;;;{6644, 6645};Cosmigo;;{65870};
2870;;;;Player X;;{6646};
2871;;;{6646};Oasis;;;
2872;;;{28725};eurocom development;;;
2873;;;;sevenOne intermedia;;{6664};
2875;;;{6667};dk games;;{6667};
2876;124;Gogii Games is a multiplatform casual video game developer and publisher based in Moncton, Canada. Founded in 2006, it started making Hidden Object / Adventure games targeted to adult females. Their games are primarily developed for PC and Mac, and most have been ported to iOS, Android and other mobile platforms.    In 2017, Gogii Games later expanded their developmental studio in Halifax, Nova Scotia named Gogii Lighthouse Studio.;{125128, 125137, 6668, 91278};Gogii Games;;{12617};2006-12-31 00:00:00
2877;;;;21 rocks;;{6668};
2878;392;;{121826, 13509, 48613, 6669, 68337, 38580, 41693, 24062, 36671};Konami Industry;;{48613, 13509, 41693, 24062, 36671};
2880;;;;Inferno Games;;{6676, 32879};
2881;;;{6680};Konami Europe;;{45860};
2883;;;{6696, 6695};Screaming Games;;;
2884;208;;{6705, 109466, 117747};Gears for Breakfast;;{6705, 109466, 117747};2013-09-01 00:00:00
2885;;;{6711};Ciel;;{6711};
2886;;;;Pionesoft;;{6711};
2887;;;{6714};GIGA Team Baldrhead;;{6714};
2888;;;{56225, 39299, 39300, 39844, 21064, 70314, 105048, 10447, 40017, 35026, 35027, 121651, 121652, 61496, 105051, 105053, 105022, 6719};Psikyo;;{39300, 25023};
2889;;;{41473, 121938};Mattel;;{41473, 6722, 11522, 8359, 11112, 48234, 1070, 121938, 9107, 92052, 11126, 3450};
2890;392;;{26784, 105507, 26979, 6725, 85842};Bimboosoft;;{26784};
2891;;;{6727};MASA Group;;;
2892;392;Sega Rosso was a development subsidiary of Sega created with members from an in-house department titled Amusement Machine 5 Research & Development(AM5 R&D). It was later absorbed by another subsidiary, Hitmaker.    Hitmaker was later shutdown and reorganized back into an internal Sega R&D structure after Segas merger with Sammy in 2004.;{6729, 66251, 43588};Sega Rosso;4468;;2000-04-21 00:00:00
2893;;;{1809};Sniper Studios;;;
2894;;3D2 Entertainment is formed by a group of young artists with a common idea: creating games focused on playability as a main goal, which led to forming an independent videogame studio in Barcelona in 2011.  We consider ourselves a small family where every opinion counts, and each one of us adds a unique ingredient that form 3D2 Entertainment. Up to this day, we are 8 people wholly involved in the idea, though we count on occasional external help to carry out work outside our field.  We invite you to have a look at our projects and that you enjoy them as much as we do!;{6730, 125007};3D2 Entertainment;;;
2895;;;{6731};Supercrit LLC;;;
2896;;;{6733};Oriental Software;;{6733};
2897;;;{7762, 6735};C. P. Brain;;;
2898;;;{6739};Crowbar Collective;;{6739};
2899;;;{6740};Tripmine Studios;;{6740};
2900;;;{6742};Nevrax;;;
2901;;;{6742};Winch Gate;;{6742};
2902;124;;{9764, 6743};Gaslamp Games;;{9764};
2903;752;Poppermost Productions is a small independent game developer based in Stockholm, Sweden. They make games comprising two essential ingredients: love and passion. Poppermost Productions wants to create immersive and authentic experiences and bring the feeling of freedom and creativity inherent to action sports into your home.;{6749};Poppermost Productions;;{6749};
2904;;;{6751};Bones;;;
2905;;;{75961, 6757, 8790};Winkysoft;;;
2906;;;{6763};William Higinbotham;;{6763};
2907;;;{6765, 21078};DreamRift;;;
2908;;;{6766};Blossomsoft;;{6766};
2909;392;FuRyu is a Japanese game developer and publisher. They most commonly do anime games but have done original IPs as well. Their other businesses include photo-booths, mobile games and figures.;{68452, 11784, 68363, 24954, 6831, 6769, 13553, 121361, 56852, 11317, 75990, 112091, 6906, 12379, 101309};FuRyu;;{68452, 103238, 103494, 11784, 25068, 24954, 6831, 13553, 104818, 121361, 11317, 67350, 75990, 112091, 6906, 12379, 19099};2007-04-01 00:00:00
2910;392;1-UP Studio Co., Ltd. (１‐UPスタジオ株式会社 Wan-Appu Sutajio Kabushiki Gaisha), formerly Brownie Brown Inc. (ブラウニーブラウン Buraunī Buraun), is a Japanese Nintendo-funded and owned video game developer.    The companys first original creation was the Japan-only Magical Vacation for the Game Boy Advance, which was released in 2001. Another popular title developed by Brownie Brown was Sword of Mana, which was created for and published by Square Enix.    On February 1, 2013, the company announced on their original official website that due to their recent co-development efforts with Nintendo, Brownie Brown had undergone a change in internal structure, which includes officially changing the name of their company to 1-UP Studio.;;1-UP Studio;;;2000-06-30 00:00:00
2911;;;{6771};Asobism;;;
2912;392;;{75744, 103366, 6772, 75739, 47903};Alpha Unit Corporation;;{103366, 47903};1995-07-07 00:00:00
2913;826;;{6776};Untold Games;;;
2914;;;{10472, 6777, 8649};Grip Games;;{34848, 10472, 8649, 11221, 20310, 52219};
2915;;;;FlukeDuke;;{6777};
2916;124;;{6781, 56782};Breakfall;;{36157, 6781, 56782};
2917;840;Jumpbutton Studio, founded in 2012, is an indie group equipped with a can do attitude. Previously known as Indie Opportunity, a group with the ideology that an indie group, no matter how unadvanced, should have the opportunity and capability to develop world-class entertainment. With a leap of faith, a newly motivated team, and geared with people dedicated to developing outstanding games, Jumpbutton studio was born. From humble beginnings developing small retro games, to expanding our boundries and developing games for platforms such as Playstation Vita, Mobile Droid, Sony phone and downloadable desktop games. Jumpbutton Studio strives to become the premiere destination for both competitive and casual gamers. We are constantly expanding our portfolio and developing innovative and exciting games on a broad range of platforms.;{9237, 7837, 18774};Jumpbutton Studio;;{7572, 9237, 18774, 7837, 6783};2012-08-21 00:00:00
2918;;;{75707, 24467, 6100, 75704, 6139, 28383};Tehkan;;{6139, 6100, 24467};
2919;840;;{7572, 6783};Indie Opportunity;2917;;2014-03-26 00:00:00
2920;826;BadLand Games UK Ltd is the UK based operation of Spanish Publisher &amp  Distributor BadLand Games SL;;BadLand Games UK Ltd;9213;{27371};2015-07-01 00:00:00
2921;804;;{19553, 7570, 114045};Ubisoft Kiev;;;
2922;;;{9626, 122127, 89847};Crypton Future Media;;{6805};
2923;;;{74946, 12195, 122279, 12209, 26611, 88887, 6808, 9245, 12639};Toybox Inc.;;;2011-08-10 00:00:00
2924;392;;{4423, 24073, 6827, 6033, 6034};Technosoft;;{4423, 24073, 6827, 6033, 6034};1982-04-01 00:00:00
2925;;;{8857, 8855, 8856, 6841, 8860};Seibu Kaihatsu;;{8857, 8860, 8855};
2926;392;;{125216, 6851, 103495, 64206, 59326};Three Rings Inc.;;;2010-10-19 00:00:00
2927;;;{6858};Dreamatrix Game Studios;;;
2928;;;{8546, 6870, 6871};Xeen;;;
2929;392;Kadokawa Shoten (角川書店), formerly Kadokawa Shoten Co., Ltd. (株式会社角川書店 Kabushiki gaisha Kadokawa Shoten), is a Japanese publisher and brand company of Kadokawa Corporation based in Tokyo, Japan. It became an internal division of Kadokawa Corporation on October 1, 2013. Kadokawa has published both manga novels and magazines, such as Newtype magazine. Since its founding, Kadokawa has expanded into the multimedia sector, namely in video games (as Kadokawa Games) and movies (as Kadokawa Pictures). The video game divisions of Kadokawa Shoten, ASCII Media Works and Enterbrain were merged into Kadokawa Games in 2009.;{69295};Kadokawa Shoten;7707;{63075, 63077, 12328, 72618, 69295, 80080, 17267, 79124, 64885, 28502, 6872, 119193, 7194, 124062, 62623};2003-04-01 00:00:00
2930;100;Formerly Black Sea Studio, It was purchased and renamed by Crytek in 2008.   After its closure in 2016, some of the original staff created a new studio called Black Sea Games.      Crytek Black Sea is the successor of the independent game developer Black Sea    Studios, which was established back in 2001. It was acquired by Crytek GmbH in    2008 and now it employs the crème-de-la-crème of the skillful and talented game    developers in Bulgaria.;{6877};Crytek Black Sea;;;2008-07-14 00:00:00
2931;;;{6881};Candle Light Studios;;;
2932;826;;;Ghostlight Ltd.;;{16781, 11416, 19864, 8986, 19099, 10158, 9907, 18227, 18229, 17210, 19131, 8764, 11453, 9669, 19915, 4172, 17620, 12382, 6884, 6885, 11501, 11502, 7157, 7158};2004-12-31 00:00:00
2933;392;;{6890, 10602, 10700, 20556, 76208, 7604, 9912, 95386};Q-Games;;{9912, 10602, 20445, 76208};2001-08-09 00:00:00
2934;;;{6891, 27388};Vitei;;;
2935;392;The Nintendo Software Planning & Development Division (Japanese: 任天堂 企画開発本部 Hepburn: Nintendō Kikaku Kaihatsu Honbu, lit. Nintendo Planning and Development Division) (commonly abbreviated to Nintendo SPD) was a research, planning and development division housed inside the Nintendo Development Center in Kyoto, Japan. The division had two departments: Software Planning & Development Department, which primarily co-produced games with external developers  and Software Development & Design Department, which primarily developed experimental and system software. The division was created during a corporate restructuring in September 2003, with the abolition of the Nintendo R&D1 and Nintendo R&D2 departments.;{24220, 21863, 9672, 7338, 7340, 2476, 22959, 5680, 28559, 10229, 19925, 11224, 10684};Nintendo SPD;70;;2003-09-30 00:00:00
2936;;;{10761, 6894};AI;;;
2937;;;{74689, 16346, 16659, 6900};3 Sprockets;;{74689, 16346, 16659, 6900};
2938;;;;GMG Play;;{6904};
2939;;;{6904};Ideas Pad;;{16272, 16026};
2940;;;{6905};BeeWorks;;;
2941;703;;{54775, 51079, 8781, 3828, 21429, 3830, 3831, 20219};Games Farm;;{84721, 9675};
2942;;;;Yakuza Team;;;
2943;;;{28000, 6913};Devils Details;;;
2944;;;{6916};Nerjyzed Entertainment;;;
2945;826;;{6924};Codemasters Guildford;115;;2007-12-31 00:00:00
2946;392;Nitroplus Co., Ltd., stylized as nitro+, is a Japanese visual novel computer software company that has developed a number of visual novels, including eroge. They also have been collaborating with TYPE-MOON (another developer) to create the light novel series Fate/Zero. Their works usually have dark themes such as reanimation of the dead and murder. They also have a branch of the company called Nitro+Chiral, which focuses on Boys Love visual novels. Super Sonico is the mascot of Nitroplus annual music festival event, Nitro Super Sonico, since 2006. Nitroplus has held their music festival every year since 2000.;{11392, 11394, 60291, 65764, 11846, 15830, 6935, 33528, 7194, 7131, 22494};Nitroplus;;{11392, 13552, 15830, 7131, 22494};2000-06-01 00:00:00
2947;840;;;Alchemic Productions;;{7000};
2948;;;;HAMSTER - duplicate;;;
2949;;;{6944};Masterpiece;;;
2950;;;{6945, 6946, 6947, 78593, 9787};Synetic;;{9787};
2951;;;{27258, 6949};Jamsworks;;;
2952;250;;{90688, 114432, 27043, 81220, 19462, 6950, 10154, 22092, 11959, 28863};Kylotonn Games;1803;;2002-12-31 00:00:00
2953;;;{6952};Blue Omega Entertainment;;;
2954;840;;;Phantom EFX;;{4219};
2955;;;{4219};8monkey Labs;;;
2956;;;;Greenwave Games;;{6962};
2957;;;{6962};Liquid Dragon Studios;;;
2958;392;;{83808, 1665, 1673, 21162, 11051, 6989, 44623, 91793, 6963, 91379, 6966, 7035};Cave;;{1673, 91793, 6963, 6989};
2959;;;{6964};Def Jam;;;
2960;;;{6971};DReAM X CReATe;;;
2961;;;{6971};Sound ams;;;
2962;;;{6985};Overmax Studios;;;
2963;;;{51402, 6985, 14586};Object Software Limited;;;
2964;;;{6986};Fuzzyeyes;;{6986};
2965;;;{15279};UTV Ignition Entertainment;;{6987};
2966;;;{6987};Ignition Tokyo;;;
2967;;;{6992, 7244};Koei Canada;;;
2968;840;;{99960, 6997, 1885};Kaos Studios;0;;2006-12-31 00:00:00
2969;;;{24087, 78057, 6997, 27479, 27480, 80409};nFusion Interactive;;;
2970;;;{7016};DiP Interactive;;;
2971;;;{7016};SME Dynamic Systems;;;
2972;616;;{22308, 26504, 7018, 26557, 26482, 26483, 26484, 26485, 7833, 8285, 74078};Metropolis Software;4291;{22308, 8285};1992-12-31 00:00:00
2973;616;;{16705, 8931, 8932, 7686, 8935, 10408, 14602, 7021, 9934, 9363, 7222, 7223, 28283};Reality Pump;;;1995-12-31 00:00:00
2974;;;{122193};Maximum Family Games;;{10788, 7022};
2975;;;{8550, 7022};Trickstar Games;;{16392};
2976;840;;;Autumn Games;;{28551, 85703, 11179, 7023, 9425};2007-12-31 00:00:00
2977;840;;{23035, 7023};Isopod Labs;;;
